# commit=1.0.1+build.sample diag= qpcFrequency=10000000
utcTicks,qpcTicks,thread,event,nav,pathId,a,b,c,d,text
638600000100000000,100000000,1,Folder,1,,0,,,,start
638600000101200000,101200000,1,Folder,1,,120,,,,catalogReady
638600000101799936,101800000,1,Folder,1,,180,,,,explorerApplied
638600000102000000,102000000,1,KeyInput,1,,5.0,,,,Right
638600000102019968,102020000,1,ShowStart,1,,0,,,,Preview
638600000102029952,102030000,1,Stat,1,,1.0,,,,
638600000102040064,102040000,1,Lookup,1,a1a1a1a1,,,,,ramHit
638600000102060032,102060000,1,Assign,1,,2.0,1920,1080,,
638600000102099968,102100000,1,Rendered,1,,4.0,,,,
638600000102100992,102101000,1,Presented,1,,,,,,final
638600000102499968,102500000,5,PreloadItem,,aabbccdd,0,2.0,0,,hit
638600000104000000,104000000,1,KeyInput,2,,6.0,,,,Right
638600000104014976,104015000,1,ShowStart,2,,1,,,,Preview
638600000104019968,104020000,1,Stat,2,,0.8,,,,
638600000104024960,104025000,1,Lookup,2,b2b2b2b2,,,,,ramHit
638600000104039936,104040000,1,Assign,2,,1.8,1920,1080,,
638600000104070016,104070000,1,Rendered,2,,3.5,,,,
638600000104070528,104070500,1,Presented,2,,,,,,final
638600000104499968,104500000,5,PreloadItem,,11223344,1,5.0,30.0,,decoded
638600000106000000,106000000,1,KeyInput,3,,4.0,,,,Right
638600000106024960,106025000,1,ShowStart,3,,2,,,,Preview
638600000106029952,106030000,1,Stat,3,,1.2,,,,
638600000106034944,106035000,1,Lookup,3,c3c3c3c3,,,,,ramHit
638600000106055040,106055000,1,Assign,3,,2.5,1920,1080,,
638600000106099968,106100000,1,Rendered,3,,5.0,,,,
638600000106100480,106100500,1,Presented,3,,,,,,final
638600000106499968,106500000,5,PreloadItem,,55667788,0,3.0,0,,skipped
638600000108000000,108000000,1,KeyInput,4,,5.0,,,,Right
638600000108019968,108020000,1,ShowStart,4,,3,,,,Fast
638600000108029952,108030000,1,Stat,4,,1.0,,,,
638600000108039936,108040000,1,Lookup,4,d4d4d4d4,,,,,miss
638600000108050048,108050000,4,Decode,4,d4d4d4d4,45.0,1920,1,0,
638600000108499968,108500000,4,Verify,4,d4d4d4d4,0.5,,,,
638600000108509952,108510000,1,Assign,4,,2.0,1920,1280,,
638600000108550016,108550000,1,Rendered,4,,4.0,,,,
638600000108550528,108550500,1,Presented,4,,,,,,final
638600000108999936,109000000,1,DispatcherLongOp,,,22.0,,,,Background;SessionSave
638600000110000000,110000000,1,KeyInput,5,,6.0,,,,Right
638600000110019968,110020000,1,ShowStart,5,,4,,,,Preview
638600000110029952,110030000,1,Stat,5,,1.0,,,,
638600000110040064,110040000,1,Lookup,5,e5e5e5e5,,,,,miss
638600000110050048,110050000,1,ThumbStart,5,e5e5e5e5,,,,,
638600000110055040,110055000,4,ThumbEnd,5,e5e5e5e5,20.0,,,,decode
638600000110055936,110056000,1,ThumbEnd,5,e5e5e5e5,20.5,,,,unknown
638600000110060032,110060000,1,Presented,5,,,,,,thumbnail
638600000110080000,110080000,4,Decode,5,e5e5e5e5,50.0,2560,1,0,
638600000110579968,110580000,4,Verify,5,e5e5e5e5,0.5,,,,
638600000110589952,110590000,1,Assign,5,,2.5,2560,1440,,
638600000110630016,110630000,1,Rendered,5,,4.0,,,,
638600000110630528,110630500,1,Presented,5,,,,,,final
638600000112000000,112000000,1,KeyInput,6,,5.0,,,,Right
638600000112019968,112020000,1,ShowStart,6,,5,,,,Fast
638600000112029952,112030000,1,Stat,6,,1.0,,,,
638600000112039936,112040000,1,Lookup,6,f6f6f6f6,,,,,miss
638600000112050048,112050000,4,DiskCacheRead,6,f6f6f6f6,15.0,204800,,,
638600000112210048,112210000,4,Verify,6,f6f6f6f6,0.5,,,,
638600000112220032,112220000,1,Assign,6,,2.0,1920,1280,,
638600000112259968,112260000,1,Rendered,6,,4.0,,,,
638600000112260480,112260500,1,Presented,6,,,,,,final
638600000112999936,113000000,5,PreloadItem,,99aabbcc,1,8.0,35.0,,decoded
638600000113500032,113500000,5,PreloadPaused,,,85,512,,,
638600000114000000,114000000,1,KeyInput,7,,5.0,,,,Right
638600000114019968,114020000,1,ShowStart,7,,6,,,,Fast
638600000114029952,114030000,1,Stat,7,,1.0,,,,
638600000114040064,114040000,1,Lookup,7,07070707,,,,,inflight
638600000114050048,114050000,1,JoinStart,7,07070707,,,,,
638600000114200064,114200000,1,JoinEnd,7,07070707,15.0,,,,
638600000114210048,114210000,1,Assign,7,,2.0,1920,1280,,
638600000114249984,114250000,1,Rendered,7,,4.0,,,,
638600000114250496,114250500,1,Presented,7,,,,,,final
638600000116000000,116000000,1,KeyInput,8,,5.0,,,,Right
638600000116019968,116020000,1,ShowStart,8,,7,,,,Fast
638600000116029952,116030000,1,Stat,8,,1.0,,,,
638600000116039936,116040000,1,Lookup,8,08080808,,,,,miss
638600000116050048,116050000,4,Decode,8,08080808,48.0,1920,1,0,
# dropped=0
